School Year,Topic,Grade,District,Proficient,Total
2021,Math,3,2169,92.0,114.0
2017,Reading,5,5325,47.0,54.0
2023,Math,6,9,30.0,42.0
2014,Math,4,2763,27.0,35.0
2019,Reading,11,4446,67.0,91.0
2020,Reading,7,4869,60.0,82.0
2020,Math,8,1082,82.0,98.0
2024,Reading,6,6094,24.0,34.0
2023,Math,5,1602,36.0,44.0
2020,Math,6,2502,35.0,46.0
2022,Reading,11,5283,42.0,52.0
2022,Reading,6,4878,40.0,47.0
2023,Reading,4,6633,9.0,11.0
2019,Math,7,6943,20.0,25.0
2022,Reading,6,1221,67.0,96.0
2024,Reading,5,135,49.0,60.0
2016,Math,11,135,87.0,106.0
2018,Math,3,2834,16.0,27.0
2014,Math,4,2862,37.0,49.0
2025,Math,5,7056,90.0,97.0
2018,Reading,8,4491,21.0,25.0
2014,Reading,4,4068,27.0,38.0
2015,Reading,11,4797,124.0,150.0
2020,Reading,11,6100,58.0,69.0
2022,Reading,11,6097,8.0,14.0
2023,Reading,3,4787,13.0,13.0
2023,Math,8,6957,518.0,638.0
2025,Reading,5,4860,16.0,27.0
2022,Math,4,1134,11.0,16.0
2025,Reading,7,4662,72.0,81.0
2015,Math,11,1917,42.0,57.0
2024,Reading,5,1503,52.0,80.0
2025,Math,8,6660,95.0,111.0
2025,Reading,3,6651,17.0,25.0
2019,Reading,7,2754,23.0,36.0
2022,Reading,11,6030,55.0,67.0
2018,Reading,11,6095,49.0,54.0
2021,Math,3,6099,26.0,32.0
2015,Math,8,3186,18.0,19.0
2018,Math,6,4878,44.0,57.0
2017,Math,11,1953,41.0,51.0
2019,Math,8,5805,66.0,96.0
2016,Reading,4,936,48.0,71.0
2017,Reading,6,135,75.0,101.0
2021,Reading,8,4776,30.0,40.0
2025,Math,4,504,38.0,46.0
2019,Math,11,2466,70.0,78.0
2017,Math,3,5994,45.0,57.0
2015,Reading,4,1737,1465.0,2153.0
2021,Math,8,1107,94.0,120.0
2022,Reading,6,5310,22.0,37.0
2015,Math,4,846,33.0,39.0
2015,Math,4,5868,10.0,15.0
2024,Math,11,2673,34.0,41.0
2019,Reading,8,441,31.0,38.0
2020,Reading,4,6246,11.0,12.0
2025,Reading,5,7038,42.0,58.0
2024,Math,11,873,30.0,38.0
2019,Math,6,2511,111.0,136.0
2022,Math,11,1967,11.0,15.0
2024,Math,11,5805,60.0,89.0
2020,Math,5,5486,21.0,28.0
2016,Math,11,3204,49.0,66.0
2017,Reading,8,4271,70.0,102.0
2024,Math,7,6961,196.0,229.0
2025,Math,8,3168,33.0,43.0
2020,Math,11,1116,101.0,123.0
2016,Reading,4,1675,16.0,20.0
2019,Math,8,6096,31.0,48.0
2020,Reading,5,6096,32.0,36.0
2018,Reading,6,7002,10.0,15.0
2020,Reading,8,7092,28.0,36.0
2016,Math,8,4086,134.0,157.0
2019,Reading,11,3114,222.0,258.0
2024,Math,8,3555,40.0,47.0
2018,Math,7,4505,18.0,22.0
2015,Math,8,5949,70.0,84.0
2017,Reading,4,3420,36.0,42.0
2015,Reading,11,6633,26.0,30.0
2016,Math,4,6854,26.0,39.0
2014,Math,4,2088,31.0,40.0
2024,Reading,7,225,225.0,278.0
2016,Reading,11,1701,125.0,174.0
2018,Reading,7,3645,117.0,194.0
2021,Reading,11,4122,31.0,37.0
2025,Reading,7,4203,46.0,54.0
2016,Math,8,3154,41.0,55.0
2017,Reading,6,918,26.0,39.0
2014,Reading,8,6579,197.0,251.0
2017,Reading,8,621,289.0,363.0
2019,Reading,11,2295,81.0,101.0
2019,Math,6,5724,7.0,10.0
2025,Reading,3,914,33.0,39.0
2020,Reading,3,4269,27.0,34.0
2024,Reading,6,5724,5.0,14.0
2015,Math,4,2457,30.0,36.0
2023,Reading,11,2016,15.0,19.0
2014,Reading,4,4779,58.0,68.0
2024,Math,5,243,17.0,21.0
2017,Math,11,4104,240.0,323.0
2024,Reading,4,6921,21.0,29.0
2017,Math,4,6983,32.0,47.0
2014,Math,8,171,31.0,47.0
2017,Reading,11,5805,69.0,107.0
2024,Reading,4,585,33.0,36.0
2024,Math,3,540,37.0,42.0
2025,Reading,4,2097,26.0,34.0
2017,Reading,11,3465,25.0,31.0
2022,Math,6,6983,48.0,54.0
2019,Math,3,720,71.0,82.0
2022,Reading,6,2502,21.0,27.0
2016,Reading,4,621,231.0,278.0
2020,Math,6,2088,34.0,45.0
2022,Reading,5,1062,91.0,105.0
2025,Math,11,914,29.0,34.0
2018,Math,7,4788,33.0,41.0
2021,Math,5,4617,98.0,115.0
2022,Reading,4,6591,17.0,30.0
2019,Math,8,2862,33.0,44.0
2018,Math,7,1350,32.0,39.0
2021,Math,8,1053,760.0,966.0
2018,Math,11,4068,38.0,45.0
2018,Reading,7,4878,43.0,56.0
2018,Reading,7,1576,88.0,98.0
2025,Math,8,657,48.0,61.0
2022,Math,4,846,38.0,42.0
2019,Reading,4,1337,230.0,264.0
2014,Reading,4,4043,45.0,48.0
2021,Reading,3,7098,44.0,46.0
2023,Reading,7,4725,132.0,199.0
2023,Math,5,873,17.0,28.0
2023,Math,7,6138,31.0,33.0
2025,Math,10,9,26.0,31.0
2014,Reading,11,1701,103.0,131.0
2014,Reading,4,2466,48.0,51.0
2015,Math,11,2846,14.0,15.0
2020,Reading,7,99,33.0,46.0
2021,Reading,4,2113,15.0,20.0
2017,Math,7,4995,59.0,75.0
2018,Math,6,2088,38.0,42.0
2020,Reading,8,2754,28.0,33.0
2020,Math,3,6165,13.0,13.0
2017,Reading,6,6591,24.0,41.0
2022,Reading,7,2766,18.0,23.0
2024,Reading,4,2007,41.0,48.0
2025,Math,10,2763,43.0,54.0
2022,Math,6,5643,50.0,59.0
2017,Math,8,657,47.0,66.0
2018,Reading,3,594,32.0,44.0
2020,Reading,6,1791,40.0,47.0
2022,Reading,4,1576,119.0,129.0
2018,Reading,7,1963,22.0,32.0
2021,Math,11,1791,45.0,54.0
2015,Reading,11,4725,164.0,211.0
2014,Math,11,4644,34.0,44.0
2023,Reading,3,4149,76.0,81.0
2025,Math,3,2846,20.0,23.0
2018,Math,11,1503,80.0,111.0
2023,Math,8,4797,188.0,210.0
2024,Reading,5,5643,53.0,65.0
2020,Reading,8,6990,28.0,38.0
2019,Math,5,3150,66.0,73.0
2020,Math,3,4778,16.0,19.0
2023,Reading,6,6165,6.0,12.0
2014,Reading,4,4271,72.0,92.0
2022,Math,8,27,114.0,126.0
2020,Reading,7,1152,47.0,71.0
2022,Reading,8,3715,411.0,476.0
2017,Math,11,1701,127.0,167.0
2015,Math,8,5049,187.0,357.0
2019,Math,3,4774,48.0,56.0
2020,Reading,5,6246,10.0,12.0
2017,Reading,5,977,27.0,37.0
2023,Math,6,1602,27.0,32.0
2018,Reading,4,3105,75.0,90.0
2021,Math,7,6219,87.0,138.0
2025,Reading,8,7056,95.0,114.0
2014,Math,8,6969,27.0,39.0
2019,Math,4,3119,46.0,55.0
2020,Math,7,27,82.0,93.0
2022,Reading,11,2556,23.0,32.0
2022,Math,6,2520,22.0,29.0
2016,Math,11,5301,23.0,25.0
2024,Reading,4,4122,33.0,38.0
2016,Math,4,977,19.0,30.0
2025,Math,4,3060,69.0,77.0
2025,Reading,11,6840,130.0,137.0
2015,Math,8,540,35.0,50.0
2023,Math,3,1476,450.0,601.0
2018,Math,3,4581,286.0,321.0
2014,Reading,8,1503,75.0,111.0
2019,Math,3,4419,40.0,55.0
2020,Math,7,4774,40.0,46.0
2018,Reading,8,3154,33.0,47.0
2025,Math,6,2862,34.0,39.0
2022,Reading,6,2295,57.0,87.0
2024,Math,8,5325,47.0,56.0
2022,Math,11,2205,14.0,17.0
2024,Math,6,1233,69.0,85.0
2023,Reading,4,6273,26.0,36.0
2018,Reading,11,6937,42.0,50.0
2018,Math,3,4779,66.0,74.0
2021,Math,8,3348,27.0,34.0
2017,Reading,3,7092,18.0,20.0
2017,Math,7,5751,32.0,47.0
2019,Math,5,1503,75.0,103.0
2023,Reading,3,873,13.0,14.0
2020,Reading,4,270,10.0,14.0
2017,Math,7,6759,38.0,57.0
2024,Math,3,2457,12.0,24.0
2024,Math,4,3150,56.0,73.0
2015,Math,11,5049,216.0,313.0
2023,Reading,8,27,81.0,100.0
2025,Reading,3,6453,58.0,63.0
2014,Math,8,846,28.0,43.0
2024,Math,11,6471,21.0,27.0
2018,Reading,5,504,43.0,52.0
2021,Math,8,585,37.0,47.0
2022,Math,3,5805,52.0,73.0
2023,Reading,8,2826,88.0,117.0
2024,Math,7,4725,152.0,210.0
2015,Reading,4,6471,28.0,36.0
2023,Reading,6,1908,23.0,31.0
2018,Reading,11,7047,30.0,35.0
2024,Math,8,936,50.0,73.0
2019,Math,7,355,23.0,27.0
2022,Math,6,5510,26.0,38.0
2016,Math,8,6100,22.0,32.0
2023,Reading,4,3029,48.0,75.0
2021,Math,3,3204,47.0,76.0
2015,Math,8,355,31.0,39.0
2014,Math,11,4023,42.0,47.0
2021,Math,3,4869,63.0,80.0
2022,Reading,4,4644,17.0,24.0
2015,Reading,4,5724,13.0,13.0
2024,Math,3,6990,36.0,45.0
2019,Reading,11,3231,303.0,350.0
2017,Reading,6,513,17.0,21.0
2017,Math,7,720,57.0,77.0
2024,Math,11,5510,43.0,47.0
2023,Reading,6,1989,28.0,39.0
2019,Reading,4,918,31.0,45.0
2017,Reading,5,4778,16.0,18.0
2023,Reading,8,126,52.0,85.0
2018,Reading,5,1908,25.0,27.0
2017,Reading,7,2313,163.0,296.0
2019,Reading,8,7110,35.0,46.0
2021,Math,7,4572,12.0,25.0
2015,Math,4,4773,34.0,43.0
2019,Math,11,3841,56.0,73.0
2016,Reading,4,5325,51.0,54.0
2025,Reading,3,6102,115.0,134.0
2015,Reading,11,153,17.0,23.0
2019,Math,6,234,52.0,70.0
2016,Math,8,918,32.0,36.0
2017,Math,8,4212,24.0,37.0
2023,Reading,8,6700,19.0,31.0
2024,Reading,7,6165,5.0,10.0
2019,Math,5,4033,29.0,33.0
2017,Math,5,873,38.0,40.0
2015,Reading,11,2556,19.0,22.0
2019,Reading,3,135,66.0,84.0
2021,Reading,11,1071,87.0,107.0
2024,Math,11,2466,73.0,79.0
2017,Reading,6,999,115.0,137.0
2017,Reading,8,3330,20.0,29.0
2019,Reading,11,1278,195.0,261.0
2020,Math,3,126,67.0,73.0
2017,Reading,4,6975,54.0,81.0
2021,Reading,8,6867,103.0,130.0
2021,Math,8,6961,162.0,202.0
2023,Reading,6,2169,76.0,102.0
2022,Math,4,2097,35.0,39.0
2020,Math,11,6985,48.0,64.0
2025,Math,4,4890,67.0,73.0
2020,Reading,7,5625,24.0,30.0
2020,Reading,11,999,94.0,120.0
2025,Math,8,846,27.0,32.0
2018,Reading,6,6957,441.0,568.0
2022,Math,4,5510,26.0,38.0
2018,Math,8,2673,43.0,52.0
2020,Reading,7,3033,42.0,57.0
2017,Math,11,6822,190.0,226.0
2023,Reading,6,1095,25.0,37.0
2025,Reading,10,3195,82.0,91.0
2018,Math,6,6992,42.0,62.0
2019,Math,8,6101,308.0,405.0
2015,Reading,4,2772,13.0,15.0
2021,Reading,7,4662,46.0,57.0
2017,Math,7,2718,43.0,61.0
2021,Math,5,5823,11.0,18.0
2018,Math,8,6003,20.0,26.0
2022,Math,5,4068,21.0,24.0
2014,Reading,4,1233,75.0,100.0
2017,Math,3,4554,52.0,66.0
2023,Math,6,6030,67.0,80.0
2021,Math,11,5976,58.0,77.0
2024,Math,6,27,92.0,110.0
2020,Reading,4,1737,1378.0,2039.0
2023,Reading,7,6094,29.0,40.0
2020,Math,4,261,516.0,593.0
2018,Math,7,5877,83.0,101.0
2022,Math,7,981,122.0,151.0
2019,Reading,3,6453,46.0,52.0
2025,Reading,4,1863,520.0,705.0
2023,Reading,11,6098,73.0,94.0
2024,Math,7,2682,27.0,29.0
2025,Reading,7,2862,40.0,49.0
2015,Math,11,7110,39.0,54.0
2022,Reading,3,6987,39.0,45.0
2025,Math,5,135,64.0,95.0
2023,Math,3,6273,29.0,37.0
2019,Reading,11,981,79.0,104.0
2023,Reading,3,1908,20.0,25.0
2022,Math,3,657,29.0,44.0
2016,Math,4,252,16.0,18.0
2024,Math,6,6950,66.0,95.0
2024,Reading,11,2781,58.0,72.0
2017,Math,4,6854,34.0,41.0
2016,Math,4,1989,35.0,39.0
2021,Reading,4,3978,10.0,12.0
2023,Math,6,6592,23.0,42.0
2016,Reading,11,5163,32.0,48.0
2019,Math,8,504,49.0,55.0
2021,Math,11,1926,52.0,63.0
2024,Reading,4,1337,259.0,355.0
2023,Reading,11,5166,158.0,167.0
2022,Math,6,6561,10.0,13.0
2023,Reading,11,1863,617.0,727.0
2020,Math,6,4043,37.0,47.0
2025,Reading,3,1963,27.0,37.0
2020,Math,3,4779,66.0,86.0
2022,Reading,3,4905,9.0,11.0
2018,Math,6,882,171.0,265.0
2023,Reading,5,2763,31.0,35.0
2018,Math,4,3312,103.0,147.0
2020,Reading,7,747,26.0,38.0
2022,Math,8,2772,8.0,15.0
2014,Math,8,5994,62.0,77.0
2025,Reading,8,4122,34.0,46.0
2017,Reading,4,1968,52.0,58.0
2017,Math,4,2466,59.0,67.0
2025,Reading,5,657,42.0,69.0
2018,Math,11,2556,22.0,27.0
2017,Math,8,6822,209.0,239.0
2023,Reading,5,4785,29.0,32.0
2018,Math,8,5049,236.0,325.0
2017,Math,6,6100,33.0,41.0
2021,Math,6,3105,65.0,90.0
2017,Math,5,576,34.0,57.0
2025,Math,8,5256,51.0,68.0
2017,Math,3,4779,60.0,68.0
2020,Math,5,5463,43.0,63.0
2018,Reading,5,1675,14.0,17.0
2018,Reading,5,6101,323.0,382.0
2024,Reading,5,5310,22.0,36.0
2020,Reading,11,6750,12.0,16.0
2019,Reading,6,7092,31.0,38.0
2021,Reading,8,720,66.0,86.0
2024,Math,4,2151,13.0,22.0
2018,Math,3,4662,53.0,69.0
2019,Math,6,2169,99.0,122.0
2019,Reading,8,4978,16.0,23.0
2019,Math,7,2369,23.0,39.0
2019,Math,7,1107,70.0,90.0
2017,Math,5,5301,17.0,19.0
2019,Reading,3,1413,31.0,37.0
2018,Reading,5,999,99.0,113.0
2019,Reading,5,5994,46.0,53.0
2019,Math,5,873,21.0,30.0
2020,Reading,4,2673,40.0,49.0
2020,Math,8,3609,14.0,24.0
2025,Reading,5,4041,46.0,70.0
2018,Reading,6,1233,88.0,132.0
2020,Reading,11,3645,137.0,188.0
2020,Math,5,3154,34.0,42.0
2021,Math,7,2834,13.0,26.0
2014,Math,8,4437,46.0,67.0
2022,Math,8,1082,73.0,92.0
2025,Math,11,5463,67.0,74.0
2018,Reading,6,1602,29.0,42.0
2025,Math,4,5310,31.0,45.0
2019,Reading,6,6854,31.0,43.0
2017,Math,3,3204,39.0,52.0
2014,Reading,11,3691,43.0,71.0
2019,Math,7,4779,73.0,85.0
2025,Reading,11,1576,143.0,164.0
2022,Math,3,171,31.0,43.0
2023,Reading,3,4572,22.0,23.0
2018,Reading,3,3420,35.0,43.0
2020,Math,7,5877,86.0,104.0
2016,Reading,4,387,78.0,102.0
2015,Reading,4,3600,120.0,148.0
2019,Math,5,6990,31.0,42.0
2025,Math,7,6660,88.0,96.0
2025,Math,3,4446,62.0,91.0
2021,Reading,5,1967,20.0,30.0
2020,Reading,11,6762,43.0,49.0
2022,Reading,3,918,26.0,31.0
2021,Math,11,2016,13.0,19.0
2018,Reading,11,4778,12.0,20.0
2017,Reading,3,6822,282.0,321.0
2018,Math,3,4775,13.0,14.0
2015,Math,11,4023,62.0,78.0
2020,Reading,11,1611,635.0,905.0
2019,Math,6,936,58.0,79.0
2020,Reading,6,5463,47.0,67.0
2019,Math,7,3375,102.0,127.0
2019,Reading,3,3798,34.0,40.0
2024,Reading,3,6102,107.0,130.0
2025,Reading,10,2520,26.0,29.0
2024,Math,3,3141,688.0,919.0
2019,Reading,11,1917,32.0,37.0
2019,Math,11,720,67.0,82.0
2021,Reading,11,6969,28.0,39.0
2021,Reading,4,5337,25.0,30.0
2023,Math,4,2369,36.0,41.0
2023,Reading,6,916,9.0,19.0
2020,Reading,8,4419,47.0,57.0
2023,Math,6,4599,39.0,50.0
2018,Math,7,1908,32.0,35.0
2023,Reading,8,4446,58.0,76.0
2025,Reading,11,6512,14.0,21.0
2021,Reading,11,4878,51.0,64.0
2024,Reading,11,99,45.0,50.0
2023,Math,3,5832,16.0,21.0
2022,Reading,3,2834,20.0,24.0
2022,Reading,6,4271,65.0,90.0
2016,Reading,4,6921,18.0,18.0
2021,Reading,5,2511,124.0,149.0
2023,Reading,6,1233,61.0,105.0
2021,Math,8,3609,18.0,22.0
2021,Math,11,2295,85.0,99.0
2019,Reading,6,1211,68.0,84.0
2015,Math,4,2682,36.0,39.0
2014,Math,11,6100,67.0,74.0
2022,Reading,11,1953,36.0,48.0
2022,Reading,8,4518,7.0,11.0
2024,Reading,8,882,140.0,239.0
2020,Reading,5,2781,56.0,77.0
2020,Math,3,5283,25.0,27.0
2015,Reading,8,6460,55.0,74.0
2018,Math,6,3465,17.0,26.0
2024,Math,5,540,31.0,36.0
2014,Reading,11,1611,658.0,978.0
2023,Math,3,6992,22.0,23.0
2022,Reading,6,2826,95.0,113.0
2020,Math,8,4878,45.0,53.0
2023,Reading,7,1944,34.0,58.0
2018,Math,5,7098,39.0,53.0
2017,Math,3,355,15.0,18.0
2021,Math,3,6985,53.0,63.0
2020,Math,4,6950,70.0,92.0
2022,Math,5,243,14.0,17.0
2022,Math,7,5949,48.0,54.0
2025,Reading,4,243,17.0,22.0
2015,Math,8,6592,48.0,56.0
2014,Reading,11,1737,1057.0,1469.0
2023,Math,5,7002,19.0,22.0
2014,Reading,11,4149,92.0,108.0
2021,Math,7,6961,174.0,189.0
2018,Math,8,4784,176.0,222.0
2017,Math,11,6138,25.0,33.0
2017,Reading,8,4761,32.0,38.0
2016,Math,4,3841,45.0,60.0
2025,Reading,5,7092,24.0,32.0
2015,Reading,4,1791,47.0,57.0
2021,Math,8,1089,16.0,18.0
2022,Reading,3,2709,98.0,110.0
2020,Math,7,2295,74.0,83.0
2018,Math,3,1211,55.0,86.0
2025,Math,4,5049,229.0,304.0
2014,Math,8,6219,90.0,142.0
2024,Math,5,6992,31.0,38.0
2021,Reading,7,1719,38.0,43.0
2018,Math,5,4775,20.0,23.0
2020,Reading,11,423,20.0,22.0
2023,Reading,11,1638,141.0,147.0
2017,Reading,4,6012,30.0,39.0
2019,Reading,8,5486,21.0,25.0
2017,Reading,11,2772,11.0,19.0
2022,Reading,8,4890,51.0,58.0
2022,Reading,6,6937,33.0,49.0
2022,Math,6,6762,48.0,53.0
2022,Math,3,4776,31.0,35.0
2024,Math,5,7092,20.0,24.0
2017,Reading,11,6992,30.0,42.0
2019,Reading,3,5949,54.0,66.0
2019,Reading,6,1116,82.0,118.0
2021,Reading,6,4572,10.0,18.0
2021,Reading,7,2169,82.0,113.0
2024,Math,6,4509,9.0,13.0
2022,Math,8,6165,11.0,13.0
2017,Reading,11,1044,295.0,340.0
2015,Math,8,3195,58.0,71.0
2023,Reading,6,1638,79.0,104.0
2018,Reading,11,7056,81.0,96.0
2023,Math,4,2556,15.0,23.0
2021,Reading,5,4878,42.0,50.0
2022,Math,6,3141,616.0,793.0
2018,Math,3,7098,33.0,43.0
2020,Reading,11,6950,102.0,130.0
2017,Math,11,1278,235.0,316.0
2020,Reading,6,6937,33.0,49.0
2016,Reading,11,4860,28.0,37.0
2020,Math,7,981,109.0,134.0
2022,Reading,8,6985,49.0,54.0
2020,Math,3,999,102.0,126.0
2017,Math,4,1079,61.0,66.0
2020,Math,5,4689,32.0,43.0
2023,Reading,11,4419,48.0,53.0
2018,Math,11,2295,77.0,96.0
2021,Math,11,2124,78.0,105.0
2024,Math,11,5949,60.0,72.0
2017,Reading,5,7098,44.0,49.0
2023,Math,4,747,42.0,46.0
2018,Math,11,3715,365.0,405.0
2025,Math,7,609,87.0,97.0
2019,Reading,6,3231,308.0,380.0
2024,Math,3,1062,96.0,111.0
2017,Reading,6,1602,32.0,44.0
2018,Math,6,7029,47.0,58.0
2020,Math,6,171,25.0,30.0
2016,Reading,8,4599,45.0,58.0
2020,Math,5,7092,19.0,23.0
2022,Reading,11,2781,69.0,99.0
2019,Math,5,3204,42.0,54.0
2022,Reading,4,4203,43.0,50.0
2014,Math,11,4617,85.0,105.0
2017,Reading,11,234,85.0,102.0
2022,Math,6,5486,27.0,32.0
2017,Math,6,4536,103.0,148.0
2018,Reading,5,2088,33.0,45.0
2014,Math,11,3195,87.0,98.0
2020,Math,6,5994,42.0,52.0
